,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3517,Tyva Republic,Russia,2020-06-15 03:33:14,2494,2,386,775.2034365072951,0.08019246190858059,51.401714899999995,93.8582593
3519,Udmurt Republic,Russia,2020-06-15 03:33:14,1094,12,559,72.30457276853812,1.0968921389396709,57.1961165,52.69598320000001
3520,Ulyanovsk Oblast,Russia,2020-06-15 03:33:14,3902,20,1287,313.00687139123613,0.5125576627370579,54.146317700000004,47.2324921
3548,Vladimir Oblast,Russia,2020-06-15 03:33:14,3512,45,1799,254.7998058529953,1.2813211845102506,56.0503336,40.656163299999996
3549,Volgograd Oblast,Russia,2020-06-15 03:33:14,4677,27,1740,185.5013096543179,0.5772931366260423,49.604833899999996,44.29035820000001
3550,Vologda Oblast,Russia,2020-06-15 03:33:14,1284,13,760,109.11974191991257,1.0124610591900312,60.0391461,43.1215213
3552,Voronezh Oblast,Russia,2020-06-15 03:33:14,4440,22,1986,190.2502733776451,0.4954954954954955,50.9800393,40.15065070000001
3560,Yamalo-Nenets Autonomous Okrug,Russia,2020-06-15 03:33:14,3325,16,1496,617.4020094810668,0.481203007518797,67.1471631,74.3415488
3562,Yaroslavl Oblast,Russia,2020-06-15 03:33:14,4073,16,1660,321.8022824022425,0.3928308372207218,57.77819760000001,39.002109499999996
3566,Zabaykalsky Krai,Russia,2020-06-15 03:33:14,1996,40,1123,186.0541421282133,2.004008016032064,52.248521000000004,115.956325
